FlightDate;Carrier;Latitud;Longitud;OriginCityName;OriginStateName;Latitud;Longitud;DestCityName;DestStateName;DepDelay;ArrDelay;Cancelled
1/01/2017;AA;42,65258;-73,75623;Albany;New York;35,22709;-80,84313;Charlotte;North Carolina;-3;-20;0
1/01/2017;AA;35,08449;-106,65114;Albuquerque;New Mexico;32,78306;-96,80667;Dallas/Fort Worth;Texas;-7;-18;0
1/01/2017;AA;33,749;-84,38798;Atlanta;Georgia;32,78306;-96,80667;Dallas/Fort Worth;Texas;25;24;0
1/01/2017;B6;30,26715;-97,74306;Austin;Texas;28,53834;-81,37924;Orlando;Florida;2;13;0
1/01/2017;B6;39,29038;-76,61219;Baltimore;Maryland;28,53834;-81,37924;Orlando;Florida;11;-1;0
1/01/2017;B6;42,35843;-71,05977;Boston;Massachusetts;26,12231;-80,14338;Fort Lauderdale;Florida;13;10;0
1/01/2017;DL;41,08144;-81,51901;Akron;Ohio;33,749;-84,38798;Atlanta;Georgia;5;3;0
1/01/2017;DL;39,96118;-82,99879;Columbus;Ohio;33,749;-84,38798;Atlanta;Georgia;-6;-7;0
1/01/2017;DL;41,4995;-81,69541;Cleveland;Ohio;33,749;-84,38798;Atlanta;Georgia;-5;-7;0
1/01/2017;HA;21,30694;-157,85833;Honolulu;Hawaii;36,17497;-115,13722;Las Vegas;Nevada;87;77;0
1/01/2017;HA;21,30694;-157,85833;Honolulu;Hawaii;34,05223;-118,24368;Los Angeles;California;72;41;0
1/01/2017;OO;39,1911;-106,81754;Aspen;Colorado;32,78306;-96,80667;Dallas/Fort Worth;Texas;29;35;0
1/01/2017;OO;41,85003;-87,65005;Chicago;Illinois;39,80172;-89,64371;Springfield;Illinois;-7;-6;0
